2020/7/26,4:00:00,5.2,25,18,阴天,呼和浩特;
2020/7/26,5:00:00,6.8,25,19,阴天,呼和浩特;
2020/7/26,6:00:00,17.2,25,22,阴天,呼和浩特;
2020/7/26,7:00:00,30.3,25,23,晴天,呼和浩特;
2020/7/26,8:00:00,32,28,25,晴天,呼和浩特;
2020/7/26,9:00:00,45.5,28,27,晴天,呼和浩特;
2020/7/26,10:00:00,58.5,33,29,晴天,呼和浩特;
2020/7/26,11:00:00,69.3,33,30,晴天,呼和浩特;
2020/7/26,12:00:00,71.6,33,31,晴天,呼和浩特;
2020/7/26,13:00:00,84.2,33,32,晴天,呼和浩特;
2020/7/26,14:00:00,86.3,36,33,晴天,呼和浩特;
2020/7/26,15:00:00,85.4,36,30,多云,呼和浩特;
2020/7/26,16:00:00,73.2,35,28,多云,呼和浩特;
2020/7/26,17:00:00,61.2,30,28,多云,呼和浩特;
2020/7/26,18:00:00,59.8,30,27,多云,呼和浩特;
2020/7/26,19:00:00,57.5,30,27,多云,呼和浩特;
2020/7/26,20:00:00,45.3,30,26,多云,呼和浩特;
2020/7/26,21:00:00,42.1,29,25,多云,呼和浩特;
2020/7/26,22:00:00,40.5,29,24,多云,呼和浩特;
2020/7/26,23:00:00,35.5,29,24,多云,呼和浩特;
2020/7/26,0:00:00,30,25,21,多云,呼和浩特;
2020/7/26,1:00:00,30,20,18,多云,呼和浩特;
2020/7/26,2:00:00,30,18,12,多云,呼和浩特;
